fit_time,score_time,test_roc_auc_score,test_accuracy_score,model
0.014142513275146484,0.005550861358642578,0.9712230215827339,0.9711191335740073,Decision Tree
0.012669563293457031,0.0048258304595947266,0.9820143884892086,0.9819494584837545,Decision Tree
0.011208295822143555,0.005670309066772461,0.9492753623188406,0.9494584837545126,Decision Tree
0.012744903564453125,0.005646228790283203,0.9492753623188406,0.9494584837545126,Decision Tree
0.013303756713867188,0.005176067352294922,0.9818840579710144,0.9818840579710145,Decision Tree
0.013059616088867188,0.006854057312011719,0.9347826086956521,0.9347826086956522,Decision Tree
0.01199960708618164,0.00497746467590332,0.9202898550724637,0.9202898550724637,Decision Tree
0.011672496795654297,0.004873514175415039,0.9166666666666667,0.9166666666666666,Decision Tree
0.01142263412475586,0.004691600799560547,0.9528985507246377,0.9528985507246377,Decision Tree
0.011671066284179688,0.004677772521972656,0.9456521739130435,0.9456521739130435,Decision Tree
0.35372114181518555,0.029755115509033203,1.0,0.9927797833935018,Random Forest
0.34600329399108887,0.03059220314025879,1.0,0.9963898916967509,Random Forest
0.34337520599365234,0.030207157135009766,0.999843603378167,0.9350180505415162,Random Forest
0.3450300693511963,0.030098438262939453,0.9997654050672505,0.9494584837545126,Random Forest
0.35073351860046387,0.030985355377197266,1.0,0.9963768115942029,Random Forest
0.3448607921600342,0.030034780502319336,1.0,0.9565217391304348,Random Forest
0.3450784683227539,0.029995203018188477,1.0,0.9492753623188406,Random Forest
0.34078192710876465,0.02985358238220215,1.0,0.9420289855072463,Random Forest
0.3453187942504883,0.029834985733032227,1.0,0.967391304347826,Random Forest
0.3497958183288574,0.030080318450927734,0.9998949800462088,0.9746376811594203,Random Forest
0.005690574645996094,0.016280651092529297,0.9505004691898655,0.9458483754512635,KNN
0.005694150924682617,0.016103267669677734,0.9650192889166926,0.9494584837545126,KNN
0.005721330642700195,0.015785932540893555,0.9403346887707226,0.8772563176895307,KNN
0.0056612491607666016,0.014845609664916992,0.9267542487748931,0.8916967509025271,KNN
0.005167961120605469,0.014942646026611328,0.9773156899810964,0.9565217391304348,KNN
0.00531768798828125,0.01468515396118164,0.9523471959672338,0.9239130434782609,KNN
0.005268096923828125,0.014898061752319336,0.8596408317580341,0.8260869565217391,KNN
0.005149364471435547,0.014925956726074219,0.9303717706364208,0.8913043478260869,KNN
0.0052831172943115234,0.014785289764404297,0.969833018273472,0.9456521739130435,KNN
0.00549626350402832,0.014959335327148438,0.9023314429741651,0.8586956521739131,KNN
